********************
Experiment,   Pi_Causal_5b
Computer,  PROCYK-ELEC
Date,23-Feb-21,Time,12:44
Core random seed,  1775512646
*******************
Selected Configuration,  1
Session Type,  6
Moyenne Des Sessions,  40


876552,02 69 
880154,9 68 
880492,87 74 
880492,87 65 
880492,87 3 
880699,25 66 
880705,15 69 
881849,76 75 
881999,53 66 
882006,2 69 
882462,01 75 
882718,67 66 
882723,56 69 
883185,03 75 
883383,72 66 
883390,68 69 
883685,29 75 
883910,93 66 
883924,33 69 
884245,66 75 
884543,3 64 
884558,15 68 
884926,9 74 
884926,9 65 
884926,9 3 
885370,39 66 
885375,53 69 
885670,91 75 
885918,67 66 
885925,88 69 
886661,13 75 
886887,05 66 
886893,26 69 
887453,31 75 
887613,05 66 
887627,17 69 
888944,89 68 
890013,53 74 
890013,53 65 
890013,53 3 
890211,23 66 
890229,07 69 
891213,48 75 
891286,86 66 
891296,73 69 
892689,14 75 
892910,91 66 
892914,56 69 
893054,6 75 
893422,75 66 
893432,01 69 
894032,17 68 
895465,55 74 
895465,55 65 
895465,55 3 
895691,01 66 
895699,91 69 
899486,4 68 
902561,6 74 
902561,6 65 
902561,6 3 
902822,66 66 
902838,8 69 
903701,86 75 
904050,33 66 
904056,42 69 
906230,25 75 
906903,12 64 
906908,56 68 
906998,19 74 
906998,19 65 
906998,19 3 
907187,34 66 
907192,74 69 
910329,36 75 
910963,4 66 
910978,3 69 
911012,35 68 
914904,83 74 
914904,83 65 
914904,83 3 
915850,08 66 
915865,72 69 
916020,24 75 
916351,29 66 
916366 69 
916803 75 
916923,47 66 
916933,06 69 
917348,9 75 
917614,83 66 
917633,38 69 
917953,19 75 
918223,53 66 
918233,84 69 
918489,66 75 
918683,73 66 
918700,97 69 
918917,75 68 
919648,92 74 
919648,92 65 
919648,92 3 
919944,07 66 
919952,39 69 
920037,24 75 
920151,56 66 
920168,64 69 
921021,23 75 
921239,19 66 
921252,81 69 
921679,74 75 
921754,8 66 
921769,85 69 
922461,57 75 
922674,72 66 
922687,25 69 
923117,84 75 
